오디션 명,기획사 명,시작 나이,끝 나이,분야,성별,접수 마감일,상세정보,URL,
JYP 2023년 5월 셋째주 센터오디션,JYP 엔터테인먼트,2001,2012,"보컬, 랩, 댄스, 연기, 모델",모두,2023-05-21,"2023년 5월 셋째주 센터오디션 안내

날짜: 2023년 5월 21일 일요일
시간: 오후 1시~4시 (4시 이후 입장 절대 불가)
대상: 2001년생~2012년생 / 성별, 국적 제한 없음
장소: JYP Center (서울시 강동구 강동대로 205)
지원분야: 보컬 / 랩 / 댄스 / 연기 / 모델
참여방법: 현장 접수

주의사항
*신분증 반드시 준비(학생증, 여권, 등본 등) 없을 시 참여 제한
*보컬/랩/댄스/연기/모델 중 한 분야만 지원 가능
*댄스 지원자는 반드시 휴대폰 음원 지참(CD 및 USB 불가)
*팀 지원 가능

여러분의 많은 참여 기다리고 있겠습니다.
감사합니다.

[May, 2023 Second JYP Monthly Audition]

Date: May 21st, 2023 (SUN)
Time: pm1:00~pm4:00 (No entrance after pm4:00)
Qualification: Anyone born between 2001~2012 regardless of their gender and nationality
Place: JYP Center (205, Gangdong-daero Gangdong-gu, Seoul)
Audition Categories: VOCAL / RAP / DANCE / ACTING / MODEL
How to Apply: Walk-in Registration

Keep in Mind
*You must bring your ID (ex. passport) to participate
*You can only apply for one audition category. (VOCAL/RAP/DANCE/ACTING/MODEL)
*Dance applicants must prepare their dance music on their phones. (NO physical CD or USB)
*You may apply as a team

We will be waiting for your participation!
Thank you.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&document_srl=504385,1
2023.05 YG MONTHLY AUDITION,YG 엔터테인먼트,2004,2012,"보컬,랩,댄스,기타",모두,2023-05-17,"2023.05 YG MONTHLY AUDITION
?
매월 진행되는 1:1 온라인 화상 오디션
?
지금부터 48시간내 오디션 지원 신청자 중 랜덤 선정된 100인에 한해 YG 오디션 담당자와 1:1 오디션을 진행합니다.
?
지금 바로 YG MONTHLY AUDITION에 지원해주세요!
https://forms.gle/5DJQgH8vcPMg1CpJ9
?
[지원기간] : 5월 15일 12:00(KST) ~ 5월 17일 12:00(KST)
[화상오디션 일정] : 5월 23일
*대상 선정 및 오디션 안내 메일은 5월 19일까지 발송 예정
?
[모집대상] : 2004년~2012년생 남녀 누구나
?
[지원분야] :
보컬 : 가장 자신있는 노래 1분 30초 전후, 음원없이
랩 : 가장 자신있는 랩 1분 30초 전후, 음원없이
댄스 : 가장 자신있는 댄스 1분 전후
기타(비주얼, 끼, 연기 등) : 1분 전후로 자신의 매력 어필
?
1:1 online video audition held every month.
?
Within 48 hours from now on, only 100 applicants are randomly selected for the audition. We will hold a 1:1 audition with the person in charge of the YG audition.
?
Please apply for YG MONTHLY AUDITION right now!
https://forms.gle/5DJQgH8vcPMg1CpJ9
?
[Application Period] : 5/15 12:00(KST) ~ 5/17 12:00(KST)
?
[Video Audition Date] : 5/23
*The selection of applicants and confirmation email will be sent by 19th May.
[Qualification] : Anyone born between 2004-2012
?
[Category] :
Vocal : The most confident song around 1:30mins without music.
Rap : The most confident rap around 1:30mins without music.
Dance : The most confident dance around a minute with music.
Etc.(Looks, Talents, Acting) : Turn on your talents for around a minute.
?
每月都?行的1:1?上?秀
?
??在起48小??，在申????名者中?机?出的100人，?YG?秀??人?行1:1的?上?秀
?
立?申? YG MONTHLY AUDITION !
https://forms.gle/5DJQgH8vcPMg1CpJ9
?
[?名??] : 5月 15日 12:00(KST) ~ 5月 17日 12:00(KST)
?
[?秀日期] : 5月 23日
*???象?拔?果及??相?通知?件??于5月19日截止?出
?
[招募?象] : 2004年至~2012年出生，男女皆可
[?名?域] :
歌曲 : 最有自信的歌曲1分30秒左右, ?有伴奏
?唱 : 最有自信的?唱1分30秒左右, ?有伴奏
舞蹈 : 最有自信的舞蹈1分?左右
其他(外貌, 才能, 表演等) : 在1分?左右的??里展?自己的魅力
?
?月行われる1:1のオンライン非?面オ?ディション
?
5/15(月)12:00から48時間以?にご?募頂いた方の中から100名?を抽選し、YGオ?ディション??者と1:1のオンライン非?面オ?ディションを行います。
?
今すぐYG MONTHLY AUDITIONにご?募ください！
https://forms.gle/5DJQgH8vcPMg1CpJ9
?
[?募期間] : 5/15(月) 12:00(KST) ~ 5/17(水) 12:00(KST)
?
[非?面オ?ディションの日程] : 5/23(火)
*?選結果及びオ?ディションの詳細は5/19(金)までにメ?ル送信予定
?
[?募資格] : 2004年~2012年生まれの男女不問
?
[?募分野] :
ボ?カル : 一番自信のある歌を1分30秒前後、アカペラで
ラップ : 一番自信のあるラップを1分30秒前後、アカペラで
ダンス : 一番自信のあるダンスを１分前後
その他(ルックス、タレント、演技など) : １分前後で自分の魅力をアピ?ル",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&document_srl=504370,2
미스틱스토리 온라인 오디션(2023년 5월),미스틱 스토리,2004,2011,"보컬,연기,작사·작곡·프로듀서,기타",모두,2023-05-31,"미스틱스토리 온라인 오디션

● 지원 기간
2023년 05월 01일 ~ 05월 31일

● 지원 자격
2004년 ~ 2011년 출생자, 성별 / 국적 무관
(작곡, 작사 부문은 제한 없음)

● 지원 분야
가수, 연기자, 밴드, 작곡, 작사

● 지원 방법
① 이름, 국적, 성별, 생년월일, 키, 몸무게, 연락처 기재
② 필터를 사용하지 않은 정면 사진, 전신 사진 첨부
③ 보컬, 랩, 댄스, 연기 영상 첨부 / 작곡, 작사 파일 첨부
④ 미스틱 스토리 오디션 메일 mailto:audition@mysticstory.net 로 발송

● 합격자 발표
합격자에 한하여 2주 이내 개별 연락",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&document_srl=503814,3
JYP 2023년 5월 첫째주 센터오디션,JYP 엔터테인먼트,2001,2012,"보컬,랩,댄스,연기,모델",모두,2023-05-07,"2023년 5월 첫째주 센터오디션 안내
?
날짜: 2023년 5월 7일 일요일
시간: 오후 1시~4시 (4시 이후 입장 절대 불가)
대상: 2001년생~2012년생 / 성별, 국적 제한 없음
장소: JYP Center (서울시 강동구 강동대로 205)
지원분야: 보컬 / 랩 / 댄스 / 연기 / 모델
참여방법: 현장 접수
?
주의사항
신분증 반드시 준비(학생증, 여권, 등본 등) 없을 시 참여 제한
보컬/랩/댄스/연기/모델 중 한 분야만 지원 가능
댄스 지원자는 반드시 휴대폰 음원 지참(CD 및 USB 불가)
팀 지원 가능
?
여러분의 많은 참여 기다리고 있겠습니다. 
감사합니다.
?
[May, 2023 First JYP Monthly Audition]
?
Date: May 7th, 2023 (SUN)
Time: pm1:00~pm4:00 (No entrance after pm4:00)
Qualification: Anyone born between 2001~2012 regardless of their gender and nationality
Place: JYP Center (205, Gangdong-daero Gangdong-gu, Seoul)
Audition Categories: VOCAL / RAP / DANCE / ACTING / MODEL
How to Apply: Walk-in Registration
?
Keep in Mind?
You must bring your ID (ex. passport) to participate
You can only apply for one audition category. (VOCAL/RAP/DANCE/ACTING/MODEL)
Dance applicants must prepare their dance music on their phones. (NO physical CD or USB)
You may apply as a team
?
We will be waiting for your participation!
Thank you.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&document_srl=503809,4
FNC 엔터테인먼트 2023년 5월 공개 오디션,FNC 엔터테인먼트,"200,419,992,004",0,"보컬,랩,댄스,연기,기타",모두,2023-05-28,"  안녕하세요. FNC엔터테인먼트 캐스팅팀입니다.
5월 28일 공개 오디션 및 일정을 안내드립니다.

5월 진행되는 공개 오디션은 '코로나19 예방 수칙에 의거하여 진행될 예정입니다.
※ 마스크 미 착용 시 출입 및 오디션 진행 불가

1. 공정한 참여 기회를 위해 공개 오디션 참가 후 6개월 이내 공개 오디션 재접수가 불가능합니다.
2. 신청 후 오디션 불참 시, 향 후 FNC에서 진행하는 모든 오디션 참가에 불이익이 있을 수 있사오니 반드시 참가가 가능하신 분만 신청 해 주시기 바랍니다.
3. 코로나 19 예방 수칙에 의거하여 진행될 예정입니다.

■ 지원분야
보컬, 랩, 피아노, 드럼, 기타, 베이스, 연기, 비주얼, 댄스

■ 지원 자격 
① 가수파트 : 04년생 이후 출생자 
② 연기파트 : 99년생 이후 출생자
③ 악기연주 파트 : 04년생 이후 출생자

→지원 자격에 적합하신 분에 한해서 국적, 성별, 학력 제한은 없습니다.

■ 4월 공개 오디션 일정
2023년 5월 28일 (일)

■ 진행장소
@FNC트레이닝센터 (서울 강남구 도산대로 511)
※지도 앱에서 도로명 주소를 검색해 주세요.

■ 접수 방법 및 시간
현장 접수 (당일 오전 12시 ~ 오후 2시까지)

■ 분야 별 준비사항
-보컬/랩: 무반주로 1분가량 가요로 준비
-댄스: 자유곡 1절 (본인이 음원 직접 준비)
-연기: 자유 연기 1개 준비
-비주얼: 자기PR 30초 준비
-악기 연주: 피아노, 드럼, 기타, 베이스 등 실용음악에 관련된 모든 악기에 대한 프리스타일 연주 (1분가량 평가)
※현장상황상 연주 영상을 촬영하여 영상으로 준비 부탁드립니다.


 ■ 합격자 발표
합격자에 한하여 개인 연락처로 개별 통보

 ■ 특별혜택
최종오디션 합격자 전원에게는 연습생계약 및 트레이닝 기회 부여

* 공정한 참여 기회를 위해 공개 오디션 참가 후 6개월 이내 공개 오디션 재접수가 불가능합니다.
* 신청 후 오디션 불참 시, 향 후 FNC에서 진행하는 모든 오디션 참가에 불이익이 있을 수 있사오니 반드시 참가가 가능하신 분만 신청 해 주시기 바랍니다.
* 코로나 19 예방 수칙에 의거하여 진행될 예정입니다.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&document_srl=503724,5
유니크튠즈 2023년 데뷔 4인조 걸그룹 - 마지막 멤버 추가모집 오디션,유니크튠즈,2001,2006,"보컬,랩,댄스,기타",여자,2023-04-30,"유니크튠즈 2023년  데뷔조 4인조 걸그룹 - 마지막 멤버 추가모집

걸그룹 아트비트, 싱어송라이터 우지원, 알앤비 뮤지션 수란(과거 소속)의 레이블 
유니크튠즈입니다.
2023년 데뷔 예정인 신인 4인조 걸그룹의 마지막 멤버 오디션을 개최합니다.
자세한 내용은 아래의 내용을 참고하시길 바랍니다.

● 지원 기간
2023년 04월 18일 ~ 04월 30일 

● 지원 자격
나이: 2006년생 - 2001년생 성별: 여자 국적: 무관

● 지원 분야
신인 아이돌(걸그룹) / 장르: 댄스

● 지원 방법
① 이름, 국적, 성별, 생년월일, 키, 몸무게, 연락처 기재
② 필터를 사용하지 않은 정면 사진, 전신 사진 첨부
③ 보컬, 랩, 댄스 등 지원하는 분야 영상 첨부 
④ 유니크튠즈 이메일 uniquetunes@naver.com 발송

● 합격자 발표
합격자에 한하여 2주 이내 개별 연락 후 대면 오디션",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&document_srl=502458,6
JYP 2023년 4월 셋째주 센터오디션,JYP 엔터테인먼트,2001,2012,"보컬,랩,댄스,연기,모델",모두,2023-04-16,"2023년 4월 셋째주 센터오디션 안내

날짜: 2023년 4월 16일 일요일
시간: 오후 1시~4시 (4시 이후 입장 절대 불가)
대상: 2001년생~2012년생 / 성별, 국적 제한 없음
장소: JYP Center (서울시 강동구 강동대로 205)
지원분야: 보컬 / 랩 / 댄스 / 연기 / 모델
참여방법: 현장 접수

주의사항
?신분증 반드시 준비(학생증, 여권, 등본 등) 없을 시 참여 제한
?보컬/랩/댄스/연기/모델 중 한 분야만 지원 가능
?댄스 지원자는 반드시 휴대폰 음원 지참(CD 및 USB 불가)
?팀 지원 가능

여러분의 많은 참여 기다리고 있겠습니다. 
감사합니다.

[April, 2023 Second JYP Monthly Audition]

Date: April 16th, 2023 (SUN)
Time: pm1:00~pm4:00 (No entrance after pm4:00)
Qualification: Anyone born between 2001~2012 regardless of their gender and nationality
Place: JYP Center (205, Gangdong-daero Gangdong-gu, Seoul)
Audition Categories: VOCAL / RAP / DANCE / ACTING / MODEL
How to Apply: Walk-in Registration

Keep in Mind
?You must bring your ID (ex. passport) to participate
?You can only apply for one audition category. (VOCAL/RAP/DANCE/ACTING/MODEL)
?Dance applicants must prepare their dance music on their phones. (NO physical CD or USB)
?You may apply as a team

We will be waiting for your participation!
Thank you.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&document_srl=502104,7
FNC 엔터테인먼트 2023년 4월 공개 오디션,FNC 엔터테인먼트,"200,419,992,004",0,"보컬,랩,댄스,연기,기타",모두,2023-04-23,"안녕하세요. FNC엔터테인먼트 캐스팅팀입니다.
4월 23일 공개 오디션 및 일정을 안내드립니다.

4월 진행되는 공개 오디션은 '코로나19 예방 수칙에 의거하여 진행될 예정입니다.
※ 마스크 미 착용 시 출입 및 오디션 진행 불가

1. 공정한 참여 기회를 위해 공개 오디션 참가 후 6개월 이내 공개 오디션 재접수가 불가능합니다.
2. 신청 후 오디션 불참 시, 향 후 FNC에서 진행하는 모든 오디션 참가에 불이익이 있을 수 있사오니 반드시 참가가 가능하신 분만 신청 해 주시기 바랍니다.
3. 코로나 19 예방 수칙에 의거하여 진행될 예정입니다.

■ 지원분야
보컬, 랩, 피아노, 드럼, 기타, 베이스, 연기, 비주얼, 댄스

■ 지원 자격 
① 가수파트 : 04년생 이후 출생자 
② 연기파트 : 99년생 이후 출생자
③ 악기연주 파트 : 04년생 이후 출생자

→지원 자격에 적합하신 분에 한해서 국적, 성별, 학력 제한은 없습니다.

■ 4월 공개 오디션 일정
2023년 4월 23일 (일)

■ 진행장소
@FNC트레이닝센터 (서울 강남구 도산대로 511)
※지도 앱에서 도로명 주소를 검색해 주세요.

■ 접수 방법 및 시간
현장 접수 (당일 오전 12시 ~ 오후 2시까지)

■ 분야 별 준비사항
-보컬/랩: 무반주로 1분가량 가요로 준비
-댄스: 자유곡 1절 (본인이 음원 직접 준비)
-연기: 자유 연기 1개 준비
-비주얼: 자기PR 30초 준비
-악기 연주: 피아노, 드럼, 기타, 베이스 등 실용음악에 관련된 모든 악기에 대한 프리스타일 연주 (1분가량 평가)
※현장상황상 연주 영상을 촬영하여 영상으로 준비 부탁드립니다.

 ■ 합격자 발표
합격자에 한하여 개인 연락처로 개별 통보

 ■ 특별혜택
최종오디션 합격자 전원에게는 연습생계약 및 트레이닝 기회 부여

* 공정한 참여 기회를 위해 공개 오디션 참가 후 6개월 이내 공개 오디션 재접수가 불가능합니다.
* 신청 후 오디션 불참 시, 향 후 FNC에서 진행하는 모든 오디션 참가에 불이익이 있을 수 있사오니 반드시 참가가 가능하신 분만 신청 해 주시기 바랍니다.
* 코로나 19 예방 수칙에 의거하여 진행될 예정입니다.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&document_srl=501867,8
FANTAGIODITION pt.2 ? 판타지오 대신 전해드립니다.,판타지오,0,0,제한없음,모두,2023-12-31,"FANTAGIODITION pt.2 ?
판타지오 대신 전해드립니다.

잘생겼다, 예쁘다, 매력 있다, 귀엽다, 노래를 잘한다, 춤을 잘 춘다 등
학교, 학원, 지인, 가족
소개해 주고 싶은 친구가 있다면 추천해 주세요.
판타지오 신인개발팀이 찾아갑니다!

추천 일정
· 2023년 4월 7일 ~ 2023년 12월 31일까지

추천 방법
· QR 코드를 스캔하고 구글폼 작성

안내사항
· 추천해 주고 싶은 친구가 판타지오 연습생 계약이 진행될 경우 소정의 상품(스마트 워치)을 드립니다.
· 개인 정보 제공에 동의하지 않는 경우 오디션 추천이 불가합니다.

오디션 문의
· 판타지오 신인개발팀 인스타그램 DM
(@fantagio_casting)",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&document_srl=501849,9
2023 P NATION 4월 센터 오디션,P NATION,2004,2013,"보컬,랩,댄스,연기",모두,2023-04-10,"[2023 P NATION 4월 센터 오디션]
 *정확한 본인확인을 위해 필터/보정이 사용되지 않은 사진도 함께 제출해주시길 바랍니다.
 1. 지원 분야
- 보컬, 랩, 연기 (한 가지 분야만 선택 가능)
- 댄스는 현장에서 자유롭게 지원 가능 (현장에서 랜덤으로 나오는 음악에 맞춰 1분 내 Free Dance로 진행)

2. 지원 대상
국적, 성별 무관 / 2004년생 ~ 2013년생
 3. 사전 접수
- 일정: 4월 1일 오후 1시부터 4월 10일 오후 6시까지 접수 가능 (선착순 200명)
- 방법:
1) QR코드로 접수
2) 접수 완료된 지원자에게는 개별 이메일로 오디션 참가 번호와 시간, 장소 안내
 4. 오디션 일정
- 4월 16일 일요일

5. 오디션 당일 준비 사항
- 보컬 / 랩 : 1분 내 자유 곡 (무반주로 진행, 악기 사용 금지)
- 연기: 동선이 없는 자유 연기 1분 내 (소품 사용 금지)
 6. 오디션 공지 및 문의
- 이메일: audition@pnation.com
- 카카오톡 채널: pnationaudition",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&document_srl=501146,10
